Product Name,Total Purchased,Total Issued,Available,Min Required
Salt,2.00,1.00,1.00,1.00
Masking tape,1.00,0.00,1.00,1.00
Red Cloth for Rapping ,1.00,0.00,1.00,1.00
Inc Pad,1.00,0.00,1.00,1.00
black paper,3.00,2.00,1.00,1.00
cello tape 3 inch,2.00,2.00,0.00,1.00
ketchup,2.00,1.00,1.00,1.00
GAS Cylinder ,1.00,1.00,0.00,1.00
Female Gift ,1.00,0.00,1.00,1.00
black salt,2.00,1.00,1.00,1.00
Plate ,7.00,7.00,0.00,6.00
Chati mate Ja- namaz ,1.00,0.00,1.00,1.00
Blanket,1.00,0.00,1.00,1.00
Kaleen  carpet ,1.00,0.00,1.00,1.00
achar (mix),4.00,3.00,1.00,1.00
Gas Stove ,1.00,0.00,1.00,1.00
Bhatti,1.00,0.00,1.00,1.00
T-20 Vatika Elite shield ,1.00,0.00,1.00,1.00
Watch Stand,1.00,0.00,1.00,1.00
Happy diwali Mug ,1.00,0.00,1.00,1.00
Performer ,1.00,0.00,1.00,1.00
Old mug ,1.00,0.00,1.00,1.00
Male woolen cap ,1.00,0.00,1.00,1.00
Room Freshener (Air- Freshener ) ,11.00,10.00,1.00,1.00
water glass,17.00,17.00,0.00,5.00
dalmia tea,0.00,0.00,0.00,1.00
air wick machine,4.00,3.00,1.00,1.00
black slat,0.00,0.00,0.00,1.00
Furniture Cleaner ,1.00,1.00,0.00,1.00
steel scrub,2.00,2.00,0.00,1.00
Steel Spoons ,12.00,12.00,0.00,1.00
sugar powder,18.00,18.00,0.00,2.00
red harpic,3.00,2.00,1.00,1.00
notepad,15.00,15.00,0.00,5.00
green tea,8.00,8.00,0.00,1.00
blue harpic,10.00,9.00,1.00,1.00
red-card,2.00,0.00,2.00,2.00
milk powder,1.00,0.00,1.00,1.00
